model,logic,case,benchmark,completed_runs,correct_verdicts,final_successes,valid_sat_witnesses,correct_sat_verdicts,sat_witness_rate
Codex 5.6 Sol,QF_ALIA,QF_ALIA/case-520b8e59cbde6f1386e4.json,QF_ALIA/76fabb1637-stack-invalid-6.md,5,5,4,4,5,0.80000000
Codex 5.6 Sol,QF_ALIA,QF_ALIA/case-643a0aece89c723cb34e.json,QF_ALIA/c440748714-ios_t1_ios_np_sf_ai_00005_001.cvc.md,5,5,5,0,0,
Codex 5.6 Sol,QF_ALIA,QF_ALIA/case-818c741c204d2672d0ae.json,QF_ALIA/60d1a1277d-qlock.induction.25.md,5,5,4,4,5,0.80000000
Codex 5.6 Sol,QF_ALIA,QF_ALIA/case-92d2ee26cc9621a54b68.json,QF_ALIA/96eb0f0ccb-qlock.base.20.md,5,3,3,3,3,1.00000000
Codex 5.6 Sol,QF_ALIA,QF_ALIA/case-dbbfbd4bcc597caa9534.json,QF_ALIA/20d5cd5790-ios_t1_ios_bia_np_sf_ai_00013_001.cvc.md,5,5,5,0,0,
Codex 5.6 Sol,QF_ALIA,QF_ALIA/case-ecfa895e6b171371dd9b.json,QF_ALIA/d6617f16d8-qlock.induction.16.md,5,3,3,3,3,1.00000000
Codex 5.6 Sol,QF_ALIA,QF_ALIA/case-fc797c30ee7b15996f6c.json,QF_ALIA/6f593bfcf9-piVC_ed9849.md,5,5,5,0,0,
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-15c927af950166cdc5eb.json,QF_AUFLIA/55ac8ba8a7-smt6416286979991758948.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-2f9b847666b64ae56376.json,QF_AUFLIA/5a4e2f93cf-smt3150137541310906277.md,5,5,5,0,0,
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-47dabce9f9dcc6df657b.json,QF_AUFLIA/a4c8726cf4-swap_t3_pp_sf_ai_00010_001.cvc.md,5,5,5,0,0,
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-5a25bb26c0824954a457.json,QF_AUFLIA/a6831a3fb1-pp-TakenBranch-s2e.md,5,4,4,0,0,
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-71c0e04d18a122ecc948.json,QF_AUFLIA/41d269aaaa-storecomm_invalid_t3_pp_sf_ni_00010_008.cvc.md,5,5,0,0,5,0.00000000
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-721e0f403161f9831aef.json,QF_AUFLIA/4f8b0ac98d-swap_t1_pp_nf_ai_00006_004.cvc.md,5,5,5,0,0,
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-72d8f58240cf4ec85a8f.json,QF_AUFLIA/088a334a0f-storecomm_invalid_t3_pp_sf_ai_00060_004.cvc.md,5,5,0,0,5,0.00000000
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-96439c3887565d332849.json,QF_AUFLIA/d9b30f8346-smt5720223571793459860.md,5,4,4,0,0,
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-a865e874cb5a5a2ecb92.json,QF_AUFLIA/e387ddf96f-storecomm_invalid_t1_pp_sf_ai_00020_001.cvc.md,5,5,0,0,5,0.00000000
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-c51261d2687da93d4d12.json,QF_AUFLIA/e0c208863b-storecomm_invalid_t1_np_nf_ni_00020_006.cvc.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-e0482ff0a4323d76e2c9.json,QF_AUFLIA/3d0fe3ca5c-swap_invalid_t3_pp_sf_ai_00006_004.cvc.md,5,5,0,0,5,0.00000000
Codex 5.6 Sol,QF_AUFLIA,QF_AUFLIA/case-f9939e7c74e3a3eb6636.json,QF_AUFLIA/04508b93b7-storecomm_t1_pp_nf_ni_00040_006.cvc.md,5,5,5,0,0,
Codex 5.6 Sol,QF_NIRA,QF_NIRA/case-491d2245a64199ff97b6.json,QF_NIRA/31712594c2-test_union_cast-1_true-unreach-call.i.md,5,5,5,0,0,
Codex 5.6 Sol,QF_S,QF_S/case-119617faab16fe5cbb61.json,QF_S/331f17148e-instance07316.md,5,5,5,0,0,
Codex 5.6 Sol,QF_S,QF_S/case-584aa3aad765b679a1bb.json,QF_S/abaf4d3d22-benchmark_0059.md,5,5,5,0,0,
Codex 5.6 Sol,QF_S,QF_S/case-6ad7e101f5ad799b75c1.json,QF_S/fae5a3418c-instance12239.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,QF_S,QF_S/case-6fff2d8c430c60265697.json,QF_S/1783153d73-instance01388.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,QF_S,QF_S/case-76e3c80a3f3626a414fd.json,QF_S/a079644c39-instance09604.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,QF_S,QF_S/case-7a26cc35c8f3de0bb771.json,QF_S/742c644e56-instance07485.md,5,5,5,0,0,
Codex 5.6 Sol,QF_S,QF_S/case-86e332303e31782155c0.json,QF_S/a9ab9a5064-01_track_83.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,QF_S,QF_S/case-880e017b8181ecb289bd.json,QF_S/cf25ee2a87-parikh.md,5,5,5,0,0,
Codex 5.6 Sol,QF_S,QF_S/case-88ac1d9f2ef8835a13ab.json,QF_S/bd772f7bb3-instance13944.md,5,5,5,0,0,
Codex 5.6 Sol,QF_S,QF_S/case-a37076ff25a73dd2a2cd.json,QF_S/561b5c6a36-instance12664.md,5,5,5,5,5,1.00000000
Codex 5.6 Sol,QF_S,QF_S/case-da41034cba1da89b2195.json,QF_S/e1dffe5729-instance06765.md,5,5,5,0,0,
Codex 5.6 Sol,QF_S,QF_S/case-f75f7ba462aa2de02a94.json,QF_S/1ac968b76c-benchmark_0286.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-1ea76502db619835c34e.json,ABVFP/308e5a972a-double_req_bl_0320_true-unreach-call.c_4.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-2ba84614cde72ad3c098.json,ABVFP/302cf07a5e-float_req_bl_0530b_true-unreach-call.c_5.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-3fe852ca5f1862168341.json,ABVFP/dd5e3b0351-float_req_bl_1210_false-unreach-call.c_0.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-4d5cdc4bb3ee51806fee.json,ABVFP/189893bdbb-float_req_bl_0530b_true-unreach-call.c_2.md,5,5,3,3,5,0.60000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-5d9e1ba66e6f34e00f62.json,ABVFP/a2be3080e2-float_req_bl_0621b_true-unreach-call.c_1.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-6a0803fedb88a746ebe0.json,ABVFP/ac2811a735-float_req_bl_0684a_true-unreach-call.c_4.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-a52114d20df1abee5cd6.json,ABVFP/0c12618c85-float_req_bl_0682a_true-unreach-call.c_13.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-c79d3d0f8ca31eb4b567.json,ABVFP/ea7e47b81e-float_req_bl_0620b_true-unreach-call.c_6.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,ABVFP,ABVFP/case-cd781b83cbb53f10c2a9.json,ABVFP/ea681cac71-float_req_bl_0530b_true-unreach-call.c_8.md,5,5,3,3,5,0.60000000
DeepSeek V4 Flash,ALIA,ALIA/case-3b95015f1e769e665f79.json,ALIA/57ada40aa8-piVC_098a89.md,5,5,5,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-4369920991204ed45b09.json,ALIA/5ed037e3cc-piVC_ffb7db.md,5,4,4,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-447347e15be831c94d5a.json,ALIA/499ffa55ba-piVC_2186b5.md,5,4,4,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-5aab47e21370d04f7449.json,ALIA/f6285a256e-piVC_849b63.md,5,3,3,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-7533a101e746b4eb8d75.json,ALIA/af7d7d155d-piVC_7f6962.md,5,5,5,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-84b2f0287d6e40d79b6e.json,ALIA/af81486a3f-piVC_c5a79f.md,5,4,4,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-a93238253a2173e570e1.json,ALIA/e46b638c7c-piVC_982830.sat.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,ALIA,ALIA/case-c607b0e1da0f02296fbb.json,ALIA/dba123416f-piVC_600bf6.md,5,5,5,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-cf9c9f8464ec3a758f79.json,ALIA/cce1e61ff2-piVC_3240b6.md,5,5,5,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-d256d0656b1a0ca617f1.json,ALIA/dd3cff8a69-piVC_5cee0c.md,5,4,4,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-e650227321378ef3c6e0.json,ALIA/4c97df26e7-piVC_bd0142.md,5,3,3,0,0,
DeepSeek V4 Flash,ALIA,ALIA/case-f4a6ac3a7e94b54bff2a.json,ALIA/bdd5eb546d-piVC_a04477.md,5,4,4,0,0,
DeepSeek V4 Flash,LIA,LIA/case-37133ee346dae01a3598.json,LIA/a60b6e08c6-fcp_197_199.md,5,5,0,0,5,0.00000000
DeepSeek V4 Flash,LIA,LIA/case-37ae4ee4ff23f9ce16e4.json,LIA/01b211cc37-fcp_167_173_179.md,5,5,0,0,5,0.00000000
DeepSeek V4 Flash,LIA,LIA/case-38cca494cece5d7ed65e.json,LIA/818325b2de-nested9_true-unreach-call.i_1749.md,5,4,4,0,0,
DeepSeek V4 Flash,LIA,LIA/case-55e4dccbd311dad51747.json,LIA/ee94632839-138.md,5,2,2,0,0,
DeepSeek V4 Flash,LIA,LIA/case-6f75e2ff0f056270393e.json,LIA/514835a5aa-jain_7_true-unreach-call_true-no-overflow_false-termination.i_5.md,5,5,5,0,0,
DeepSeek V4 Flash,LIA,LIA/case-83dc3b96c4f285725b92.json,LIA/86ece07d34-ARI011=1.md,5,5,5,0,0,
DeepSeek V4 Flash,LIA,LIA/case-8e6cb8f4af6eceeb2090.json,LIA/0afccb8013-009.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,LIA,LIA/case-97c27a0ae12d69082ff9.json,LIA/4d472d34fe-NUM874=1.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,LIA,LIA/case-a24ed4a919d05ba3463e.json,LIA/7e33141df7-nested9_true-unreach-call.i_1676.md,5,5,5,0,0,
DeepSeek V4 Flash,LIA,LIA/case-b94cfa21f7a768c5616a.json,LIA/87f585dce5-nested9_true-unreach-call.i_670.md,5,5,5,0,0,
DeepSeek V4 Flash,LIA,LIA/case-bccf4ac09527548438e1.json,LIA/4935b59fa2-137.md,5,1,0,0,1,0.00000000
DeepSeek V4 Flash,LIA,LIA/case-e42cddba6c760e17a4e6.json,LIA/07d23f440c-076.md,5,4,2,2,4,0.50000000
DeepSeek V4 Flash,NIA,NIA/case-089daad396150f00befe.json,NIA/6097397d24-Problem17_label54_false-unreach-call.c_10.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,NIA,NIA/case-09a7f924777a4241e65c.json,NIA/d2baf9a6e3-184.md,5,0,0,0,0,
DeepSeek V4 Flash,NIA,NIA/case-1f877c31f8d374e71b1b.json,NIA/adba4fcc0d-Problem17_label54_false-unreach-call.c_12.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NIA,NIA/case-571d8eaf9802c576628c.json,NIA/520443d627-183.md,5,4,4,4,4,1.00000000
DeepSeek V4 Flash,NIA,NIA/case-6e49f1e848bfcea046e7.json,NIA/d8e2e6a94b-byte_add_1_true-unreach-call_true-no-overflow_true-termination.i_1.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NIA,NIA/case-79c18f0e40fc9f262690.json,NIA/f78bd5b9f4-NUM878=1.md,5,5,5,0,0,
DeepSeek V4 Flash,NIA,NIA/case-7c3536b9dc2009f2d65e.json,NIA/b9297b0cc3-ARI123=1.md,5,5,5,0,0,
DeepSeek V4 Flash,NIA,NIA/case-b82a0bacc829be583cfd.json,NIA/33b3fa2910-jain_6_true-unreach-call_true-no-overflow_false-termination.i_0.md,5,5,5,0,0,
DeepSeek V4 Flash,NIA,NIA/case-c4f10a8031854f8b4bd0.json,NIA/63da306c9c-Problem18_label34_false-unreach-call.c_13.md,5,5,5,0,0,
DeepSeek V4 Flash,NIA,NIA/case-dd0f3cb79e8310b233e8.json,NIA/41a6c07a20-jain_6_true-unreach-call_true-no-overflow_false-termination.i_11.md,5,5,5,0,0,
DeepSeek V4 Flash,NIA,NIA/case-e30a97bc4a165022fc17.json,NIA/11d889a116-NUM885=1.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NIA,NIA/case-fec40fc9e41799578ccc.json,NIA/2da4538e94-Problem17_label54_false-unreach-call.c_13.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NRA,NRA/case-07fc023d7b5bbc4b46c9.json,NRA/722eaea277-strassen-hard.md,5,5,0,0,5,0.00000000
DeepSeek V4 Flash,NRA,NRA/case-0dd93fe9495ae97a1076.json,NRA/05f6f3c412-intersection-example-simple.proof-node139846.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-2300cc91e46152c38058.json,NRA/5de9b96fd7-strassen-trivial.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NRA,NRA/case-4dbf56cc7fc67319420c.json,NRA/b71c706c27-ETCS-essentials-live-range2.proof-node1046.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NRA,NRA/case-565e22bbc482817f68c9.json,NRA/3f4c9f1d1c-strassen-linear.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NRA,NRA/case-587bb9e70acab7083a09.json,NRA/7af8bd92ec-intersection-example-simple.proof-node123456.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-77dc803deaf402445c07.json,NRA/b8c28b67ab-intersection-example-simple.proof-node469037.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-86481b1bb8a2780a2ae1.json,NRA/f73795ffcb-strassen-impossible.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-911b24806d76530bb747.json,NRA/18dc573cc5-intersection-example-simple.proof-node256483.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-9bdce909e2dcd9694f7d.json,NRA/a94c71fdd6-reactivity-lemma-node2938.md,5,5,4,4,5,0.80000000
DeepSeek V4 Flash,NRA,NRA/case-9c704194115bdbe3ba93.json,NRA/6a99aa37dd-intersection-example-simple.proof-node729267.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-e688fedd8e2670700d3a.json,NRA/f93694880b-moving-point-node2370.md,5,5,5,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-12b55d9c2e1b455ce3d6.json,QF_ALIA/679e0ffaa9-ios_t1_ios_bia_np_sf_ai_00001_001.cvc.md,5,5,5,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-15c163e0d3fb062cba1d.json,QF_ALIA/b1092fb93e-qlock.base.30.md,5,0,0,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-333f4df714e4fdacf030.json,QF_ALIA/28114b6375-qlock-bug2-10.md,5,0,0,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-3e1df4139db3543e9ee2.json,QF_ALIA/faf9ed7349-qlock.base.13.md,5,5,5,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-520b8e59cbde6f1386e4.json,QF_ALIA/76fabb1637-stack-invalid-6.md,5,3,3,3,3,1.00000000
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-643a0aece89c723cb34e.json,QF_ALIA/c440748714-ios_t1_ios_np_sf_ai_00005_001.cvc.md,5,5,5,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-818c741c204d2672d0ae.json,QF_ALIA/60d1a1277d-qlock.induction.25.md,5,0,0,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-92d2ee26cc9621a54b68.json,QF_ALIA/96eb0f0ccb-qlock.base.20.md,5,0,0,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-dbbfbd4bcc597caa9534.json,QF_ALIA/20d5cd5790-ios_t1_ios_bia_np_sf_ai_00013_001.cvc.md,5,5,5,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-ecfa895e6b171371dd9b.json,QF_ALIA/d6617f16d8-qlock.induction.16.md,5,0,0,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-fc797c30ee7b15996f6c.json,QF_ALIA/6f593bfcf9-piVC_ed9849.md,5,5,5,0,0,
DeepSeek V4 Flash,QF_AUFLIA,QF_AUFLIA/case-15c927af950166cdc5eb.json,QF_AUFLIA/55ac8ba8a7-smt6416286979991758948.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,QF_AUFLIA,QF_AUFLIA/case-2f9b847666b64ae56376.json,QF_AUFLIA/5a4e2f93cf-smt3150137541310906277.md,5,5,5,0,0,
DeepSeek V4 Flash,QF_AUFLIA,QF_AUFLIA/case-47dabce9f9dcc6df657b.json,QF_AUFLIA/a4c8726cf4-swap_t3_pp_sf_ai_00010_001.cvc.md,5,4,4,0,0,
