model,logic,case,benchmark,completed_runs,correct_verdicts,final_successes,valid_sat_witnesses,correct_sat_verdicts,sat_witness_rate
DeepSeek V4 Flash,NRA,NRA/case-86481b1bb8a2780a2ae1.json,NRA/f73795ffcb-strassen-impossible.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-911b24806d76530bb747.json,NRA/18dc573cc5-intersection-example-simple.proof-node256483.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-9bdce909e2dcd9694f7d.json,NRA/a94c71fdd6-reactivity-lemma-node2938.md,5,5,5,5,5,1.00000000
DeepSeek V4 Flash,NRA,NRA/case-9c704194115bdbe3ba93.json,NRA/6a99aa37dd-intersection-example-simple.proof-node729267.md,5,5,5,0,0,
DeepSeek V4 Flash,NRA,NRA/case-e688fedd8e2670700d3a.json,NRA/f93694880b-moving-point-node2370.md,5,5,5,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-12b55d9c2e1b455ce3d6.json,QF_ALIA/679e0ffaa9-ios_t1_ios_bia_np_sf_ai_00001_001.cvc.md,5,5,5,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-15c163e0d3fb062cba1d.json,QF_ALIA/b1092fb93e-qlock.base.30.md,5,0,0,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-333f4df714e4fdacf030.json,QF_ALIA/28114b6375-qlock-bug2-10.md,5,0,0,0,0,
DeepSeek V4 Flash,QF_ALIA,QF_ALIA/case-3e1df4139db3543e9ee2.json,QF_ALIA/faf9ed7349-qlock.base.13.md,2,1,1,0,0,
DeepSeek V4 Pro,ABVFP,ABVFP/case-1ea76502db619835c34e.json,ABVFP/308e5a972a-double_req_bl_0320_true-unreach-call.c_4.md,5,5,5,5,5,1.00000000
DeepSeek V4 Pro,ABVFP,ABVFP/case-2ba84614cde72ad3c098.json,ABVFP/302cf07a5e-float_req_bl_0530b_true-unreach-call.c_5.md,5,5,3,3,5,0.60000000
DeepSeek V4 Pro,ABVFP,ABVFP/case-3fe852ca5f1862168341.json,ABVFP/dd5e3b0351-float_req_bl_1210_false-unreach-call.c_0.md,5,5,5,5,5,1.00000000
DeepSeek V4 Pro,ABVFP,ABVFP/case-4d5cdc4bb3ee51806fee.json,ABVFP/189893bdbb-float_req_bl_0530b_true-unreach-call.c_2.md,5,5,2,2,5,0.40000000
DeepSeek V4 Pro,ABVFP,ABVFP/case-5d9e1ba66e6f34e00f62.json,ABVFP/a2be3080e2-float_req_bl_0621b_true-unreach-call.c_1.md,5,5,4,4,5,0.80000000
DeepSeek V4 Pro,ABVFP,ABVFP/case-6a0803fedb88a746ebe0.json,ABVFP/ac2811a735-float_req_bl_0684a_true-unreach-call.c_4.md,5,5,3,3,5,0.60000000
DeepSeek V4 Pro,ABVFP,ABVFP/case-a52114d20df1abee5cd6.json,ABVFP/0c12618c85-float_req_bl_0682a_true-unreach-call.c_13.md,5,4,4,4,4,1.00000000
DeepSeek V4 Pro,ABVFP,ABVFP/case-c79d3d0f8ca31eb4b567.json,ABVFP/ea7e47b81e-float_req_bl_0620b_true-unreach-call.c_6.md,5,4,3,3,4,0.75000000
DeepSeek V4 Pro,ABVFP,ABVFP/case-cd781b83cbb53f10c2a9.json,ABVFP/ea681cac71-float_req_bl_0530b_true-unreach-call.c_8.md,5,5,2,2,5,0.40000000
DeepSeek V4 Pro,ALIA,ALIA/case-3b95015f1e769e665f79.json,ALIA/57ada40aa8-piVC_098a89.md,5,0,0,0,0,
DeepSeek V4 Pro,ALIA,ALIA/case-4369920991204ed45b09.json,ALIA/5ed037e3cc-piVC_ffb7db.md,5,0,0,0,0,
DeepSeek V4 Pro,ALIA,ALIA/case-447347e15be831c94d5a.json,ALIA/499ffa55ba-piVC_2186b5.md,5,0,0,0,0,
DeepSeek V4 Pro,ALIA,ALIA/case-5aab47e21370d04f7449.json,ALIA/f6285a256e-piVC_849b63.md,5,0,0,0,0,
DeepSeek V4 Pro,ALIA,ALIA/case-7533a101e746b4eb8d75.json,ALIA/af7d7d155d-piVC_7f6962.md,5,0,0,0,0,
DeepSeek V4 Pro,ALIA,ALIA/case-84b2f0287d6e40d79b6e.json,ALIA/af81486a3f-piVC_c5a79f.md,5,2,2,0,0,
DeepSeek V4 Pro,ALIA,ALIA/case-a93238253a2173e570e1.json,ALIA/e46b638c7c-piVC_982830.sat.md,5,5,4,4,5,0.80000000
DeepSeek V4 Pro,ALIA,ALIA/case-c607b0e1da0f02296fbb.json,ALIA/dba123416f-piVC_600bf6.md,5,5,5,0,0,
DeepSeek V4 Pro,ALIA,ALIA/case-cf9c9f8464ec3a758f79.json,ALIA/cce1e61ff2-piVC_3240b6.md,5,0,0,0,0,
DeepSeek V4 Pro,ALIA,ALIA/case-d256d0656b1a0ca617f1.json,ALIA/dd3cff8a69-piVC_5cee0c.md,5,0,0,0,0,
DeepSeek V4 Pro,ALIA,ALIA/case-e650227321378ef3c6e0.json,ALIA/4c97df26e7-piVC_bd0142.md,5,0,0,0,0,
